Country of Registration,Event,Event Start Date,Event End Date,Name of vessel,Vessel Type,Main fishing gear,Subsidiary fishing gear 1,LOA,Tonnage GT,Power of main engine,MMSIstr
BEL,MOD,2020-09-09,2020-09-09,MIKE MICHEL JR,FX,TBB,OTB,21.39,53.0,213.0,205308000
BEL,MOD,2020-09-10,2021-01-17,MIKE MICHEL JR,FX,TBB,OTB,21.39,53.0,213.0,205308000
BEL,MOD,2021-01-18,2023-02-26,MIKE MICHEL JR,FX,TBB,OTB,21.39,53.0,213.0,205308000
BEL,DES,2023-02-27,2023-02-27,MIKE MICHEL JR,FX,TBB,OTB,21.39,53.0,213.0,205308000
NLD,IMP,2018-06-01,2019-07-31,JACOB SR.,TU,TBB,MIS,19.1,57.0,187.0,244170523
NLD,MOD,2019-08-01,2023-06-12,JACOB SR.,TU,TBB,MIS,19.1,57.0,221.0,244170523
NLD,MOD,2023-06-13,2023-08-08,JELTE ALBERT,TU,TBB,FPO,19.1,57.0,221.0,244170523
NLD,MOD,2023-08-09,2100-12-31,JELTE ALBERT,TU,TBB,FPO,19.1,57.0,221.0,244170523
BEL,MOD,2020-09-09,2021-01-12,AQUARIUS,FX,TBB,OTB,21.91,58.0,220.0,205264000
BEL,MOD,2021-01-13,2024-12-31,AQUARIUS,FX,TBB,OTB,21.91,58.0,220.0,205264000
BEL,MOD,2025-01-01,2100-12-31,AQUARIUS,FX,TBB,OTB,21.91,58.0,220.0,205264000
BEL,MOD,2021-01-05,2021-01-17,MORGENSTER,FX,TBB,OTB,23.94,94.0,218.0,205017000
BEL,MOD,2021-01-18,2021-08-21,MORGENSTER,FX,TBB,OTB,23.94,94.0,218.0,205017000
BEL,DES,2021-08-22,2021-08-22,MORGENSTER,FX,TBB,OTB,23.94,94.0,218.0,205017000
BEL,MOD,2020-09-09,2021-01-04,ZEEVONK,FX,TBB,OTB,19.04,44.0,202.0,205632000
BEL,MOD,2021-01-05,2021-01-11,ZEEVONK,FX,TBB,OTB,19.04,44.0,202.0,205632000
BEL,MOD,2021-01-12,2021-01-13,ZEEVONK,FX,TBB,OTB,19.04,44.0,202.0,205632000
BEL,MOD,2021-01-14,2021-09-06,ZEEVONK,FX,TBB,OTB,19.04,44.0,202.0,205632000
BEL,RET,2021-09-07,2021-09-07,ZEEVONK,FX,TBB,OTB,19.04,44.0,202.0,205632000
NLD,MOD,2016-08-19,2019-05-28,VISAREND,MO,TBB,OTT,22.55,66.0,220.0,244052000
NLD,MOD,2019-05-29,2020-01-14,VISAREND,MO,TBB,OTT,22.55,66.0,220.0,244052000
NLD,MOD,2020-01-15,2021-06-01,VISAREND,MO,TBB,MIS,22.55,66.0,220.0,244052000
NLD,MOD,2021-06-02,2022-02-16,VISAREND,MO,TBB,OTT,22.55,66.0,220.0,244052000
NLD,MOD,2022-02-17,2023-05-02,VISAREND,MO,TBB,MIS,22.55,66.0,220.0,244052000
NLD,MOD,2023-05-03,2023-07-24,VISAREND,MO,TBB,OTB,22.55,66.0,220.0,244052000
NLD,MOD,2023-07-25,2100-12-31,VISAREND,MO,TBB,OTB,22.55,66.0,220.0,244052000
GBR,MOD,2020-07-28,2020-12-22,TRUI VAN HINTE,TU,TBB,NK,40.25,474.0,1470.0,235007860
GBR,MOD,2020-12-23,2020-12-30,TRUI VAN HINTE,TU,TBB,NK,40.25,474.0,1470.0,235007860
GBR,RET,2020-12-31,2020-12-31,TRUI VAN HINTE,TU,TBB,NK,40.25,474.0,1470.0,235007860
BEL,MOD,2021-01-05,2021-01-17,BROODWINNER,FX,TBB,OTB,27.2,109.0,221.0,205150000
BEL,MOD,2021-01-18,2021-02-02,BROODWINNER,FX,TBB,OTB,27.2,109.0,221.0,205150000
BEL,MOD,2021-02-03,2100-12-31,BROODWINNER,FX,TBB,OTB,27.2,109.0,221.0,205150000
BEL,MOD,2020-09-09,2021-01-11,MARBI,FX,TBB,OTB,34.8,254.0,1200.0,205275000
BEL,MOD,2021-01-12,2100-12-31,MARBI,FX,TBB,OTB,34.8,254.0,1200.0,205275000
BEL,MOD,2020-09-09,2021-01-10,STORMVOGEL,FX,TBB,OTB,33.0,254.0,898.0,205277000
BEL,MOD,2021-01-11,2021-10-10,STORMVOGEL,FX,TBB,OTB,33.0,254.0,898.0,205277000
BEL,MOD,2021-10-11,2100-12-31,STORMVOGEL,FX,TBB,OTB,33.0,254.0,1119.0,205277000
BEL,MOD,2020-09-09,2021-01-10,DINI,FX,TBB,OTB,21.97,44.0,221.0,205315000
BEL,MOD,2021-01-11,2022-10-06,DINI,FX,TBB,OTB,21.97,44.0,221.0,205315000
BEL,MOD,2022-10-07,2025-01-05,DINI,FX,TBB,OTB,21.97,44.0,221.0,205315000
BEL,MOD,2025-01-06,2100-12-31,DINI,FX,TBB,OTB,21.97,44.0,221.0,205315000
NLD,MOD,2017-07-11,2024-02-15,VRIJHEID,DB,TBB,MIS,20.86,50.0,221.0,245504000
NLD,MOD,2024-02-16,2100-12-31,VRIJHEID,DB,TBB,MIS,20.86,50.0,221.0,245504000
DEU,MOD,2018-01-16,2024-03-18,OSTWIND,TU,TBB,NK,18.0,34.0,221.0,211653680
DEU,RET,2024-03-19,2024-03-19,OSTWIND,TU,TBB,NK,18.0,34.0,221.0,211653680
BEL,MOD,2020-09-09,2021-01-17,WILMAR,FX,OTB,NO,25.94,207.0,1200.0,205165000
BEL,MOD,2021-01-18,2023-09-11,WILMAR,FX,OTB,NO,25.94,207.0,1200.0,205165000
BEL,MOD,2023-09-12,2100-12-31,WILMAR,FX,OTB,NO,25.94,207.0,1200.0,205165000
BEL,MOD,2020-09-09,2020-10-19,GRIETJE,FX,TBB,OTB,23.99,109.0,221.0,205258000
BEL,MOD,2020-10-20,2021-01-11,GRIETJE,FX,TBB,OTB,23.99,109.0,221.0,205258000
BEL,MOD,2021-01-12,2021-08-25,GRIETJE,FX,TBB,OTB,23.99,109.0,221.0,205258000
BEL,MOD,2021-08-26,2100-12-31,GRIETJE,FX,TBB,OTB,23.99,109.0,221.0,205258000
BEL,MOD,2020-09-09,2021-01-04,ROMY,FX,TBB,GTR,21.2,54.0,221.0,205273000
BEL,MOD,2021-01-05,2021-01-17,ROMY,FX,TBB,GTR,21.2,54.0,221.0,205273000
BEL,MOD,2021-01-18,2022-04-26,ROMY,FX,TBB,GTR,21.2,54.0,221.0,205273000
BEL,MOD,2022-04-27,2100-12-31,ROMY,FX,TBB,GTR,23.9,62.0,221.0,205273000
BEL,MOD,2020-09-09,2021-01-04,ARAN,FX,TBB,OTB,17.0,42.0,221.0,205323000
BEL,MOD,2021-01-05,2021-01-17,ARAN,FX,TBB,OTB,17.0,42.0,221.0,205323000
BEL,MOD,2021-01-18,2021-02-02,ARAN,FX,TBB,OTB,17.0,42.0,221.0,205323000
BEL,MOD,2021-02-03,2100-12-31,ARAN,FX,TBB,OTB,17.0,42.0,221.0,205323000
NLD,MOD,2017-09-29,2021-01-14,GERRIT SENIOR,MTG,OTB,MIS,14.95,28.0,194.0,244810702
NLD,MOD,2021-01-15,2025-10-01,GERRIT SENIOR,MTG,OTB,MIS,14.95,28.0,194.0,244810702
NLD,EXP,2025-10-02,2025-10-02,GERRIT SENIOR,MTG,OTB,MIS,14.95,28.0,194.0,244810702
HRV,IMP,2025-10-28,2025-10-28,295756-BO,FX,OTB,LLS,14.95,28.0,194.0,238173910
HRV,MOD,2025-10-29,2100-12-31,295756-BO,FX,OTB,LLS,14.95,28.0,194.0,238173910
BEL,MOD,2020-09-09,2021-01-11,HILLIE,FX,TBB,OTB,23.93,126.0,221.0,205740000
BEL,MOD,2021-01-12,2022-11-09,HILLIE,FX,TBB,OTB,23.93,126.0,221.0,205740000
BEL,MOD,2022-11-10,2022-11-13,HILLIE,FX,TBB,OTB,23.93,126.0,221.0,205740000
BEL,MOD,2022-11-14,2025-06-25,HILLIE,FX,TBB,OTB,23.93,126.0,221.0,205740000
BEL,MOD,2025-06-26,2100-12-31,DRE,FX,TBB,OTB,23.93,126.0,221.0,205740000
BEL,MOD,2020-09-09,2021-01-10,DEN HOOPE,FX,TBB,NO,37.83,389.0,1200.0,205237000
BEL,MOD,2021-01-11,2100-12-31,DEN HOOPE,FX,TBB,NO,37.83,389.0,1200.0,205237000
BEL,MOD,2020-09-09,2021-01-17,RAMBLERS,FX,TBB,OTB,33.18,143.0,221.0,205325000
BEL,MOD,2021-01-18,2023-12-18,RAMBLERS,FX,TBB,OTB,33.18,143.0,221.0,205325000
BEL,RET,2023-12-19,2023-12-19,RAMBLERS,FX,TBB,OTB,33.18,143.0,221.0,205325000
BEL,MOD,2020-09-09,2021-01-11,AEGIR,FX,OTB,NO,32.32,336.0,705.0,205241000
BEL,MOD,2021-01-12,2100-12-31,AEGIR,FX,OTB,NO,32.32,336.0,705.0,205241000
BEL,MOD,2020-09-09,2021-01-10,ARTEVELDE,FX,TBB,DRB,23.82,69.0,221.0,205265000
BEL,MOD,2021-01-11,2021-03-21,ARTEVELDE,FX,TBB,DRB,23.82,69.0,221.0,205265000
BEL,MOD,2021-03-22,2021-04-07,ARTEVELDE,FX,TBB,DRB,23.82,69.0,221.0,205265000
BEL,MOD,2021-04-08,2022-12-18,ARTEVELDE,FX,TBB,DRB,23.82,69.0,221.0,205265000
BEL,MOD,2022-12-19,2024-09-10,ARTEVELDE,FX,TBB,DRB,23.82,69.0,221.0,205265000
BEL,MOD,2024-09-11,2024-09-26,DINI,FX,TBB,OTB,23.82,69.0,221.0,205265000
