iter	PRAUC	Logloss
0	0.8706462766	0.6713063992
1	0.884397148	0.6505639977
2	0.8830018696	0.631463126
3	0.8919697759	0.6145732625
4	0.8928932323	0.5978217325
5	0.902717741	0.5798373273
6	0.9026643585	0.5662375297
7	0.9059619244	0.552500274
8	0.9083395488	0.5391498343
9	0.9095533098	0.5293693532
10	0.9093803716	0.51867483
11	0.9099286212	0.5090031851
12	0.9116959004	0.5002799492
13	0.9109293979	0.4919060489
14	0.9117977779	0.4835597648
15	0.9124350279	0.4768041939
16	0.9126457017	0.4699751184
17	0.912684153	0.462876522
18	0.9127787219	0.457078915
19	0.9129912852	0.4510127302
20	0.9146009545	0.4450820353
21	0.9157370569	0.4396995253
22	0.9169883623	0.4339293912
23	0.9175243768	0.4287393536
24	0.9194986387	0.4243896622
25	0.9210976995	0.4193437906
26	0.9213698594	0.4155131919
27	0.9214220616	0.4112701861
28	0.9223049101	0.4063235686
29	0.9230973342	0.4022914781
30	0.9236884604	0.3982233052
31	0.9237738584	0.3946821072
32	0.9242954707	0.3909475334
33	0.9242167064	0.3878839422
34	0.9242527847	0.3850105635
35	0.9244842761	0.3827179857
36	0.9245051621	0.3800208366
37	0.9246477621	0.3771860302
38	0.9246901261	0.3741807949
39	0.9250376019	0.371592069
40	0.9254368529	0.3694241762
41	0.9257562473	0.3675608036
42	0.9263603649	0.3656398529
43	0.9274204337	0.3623352977
44	0.9279287448	0.3604996548
45	0.9281741825	0.3587392397
46	0.9284785178	0.356509467
47	0.9289843272	0.3544031213
48	0.9292479587	0.3526878796
49	0.9293519958	0.3507891807
50	0.9295783289	0.3487425034
51	0.9298871381	0.3473230957
52	0.9304379733	0.345657326
53	0.9307275941	0.3438837763
54	0.9308904577	0.3425093503
55	0.9311190964	0.3412066088
56	0.9311280315	0.3399824655
57	0.9312998474	0.3384480784
58	0.9316434352	0.3369674547
59	0.9320830415	0.3350951573
60	0.9327058693	0.3341023888
61	0.9332341267	0.3327643787
62	0.933422325	0.3318645593
63	0.9336479779	0.3303123172
64	0.9337913058	0.3293448894
65	0.9338402556	0.3278864227
66	0.9341659885	0.3265642549
67	0.9344600022	0.3252881856
68	0.9347461942	0.3243288871
69	0.9349176034	0.3230884571
70	0.9349913603	0.3224897985
71	0.9351860871	0.321358559
72	0.9355882968	0.3201500579
73	0.9358988282	0.3193290981
74	0.9361793943	0.3184516783
75	0.9364107415	0.3175244148
76	0.9366872012	0.3163115169
77	0.9368859109	0.315432903
78	0.9370128261	0.3147314316
79	0.9372447933	0.313912189
80	0.9374016449	0.3132810056
81	0.9375964124	0.3123578174
82	0.9380363235	0.3113396622
83	0.9383836841	0.3106076458
